group,names,scores,logfoldchanges,pvals,pvals_adj
7,YBX1,17.16224,7.302769,5.091172912634074e-66,6.666992752552572e-63
8,NKG7,20.027676,31.9062,3.160646297958403e-89,1.034732385025622e-84
8,GNLY,19.939734,32.667004,1.8404126481361827e-88,3.012571463734117e-84
8,GZMB,19.49019,16.174982,1.329864524390939e-84,1.4512368266503523e-80
8,PRF1,18.88234,9.939351,1.5937045836867866e-79,1.3043675165184504e-75
8,CTSW,18.567648,7.427971,5.872010492114269e-77,3.8447575898167383e-73
8,GZMA,17.855558,7.5403748,2.6165331386104937e-71,1.4276676981971724e-67
8,CST7,17.788025,7.529173,8.751077122099533e-71,4.092753754618493e-67
8,FGFBP2,17.214207,9.53556,2.077736641838619e-66,8.502617772564088e-63
8,CD247,15.451775,5.3971567,7.339409597833418e-54,2.184341740126095e-50
8,SPON2,14.606222,7.019445,2.5634343937981336e-48,5.594781012277553e-45
8,FCGR3A,14.113935,3.5613053,3.116851788905954e-45,5.3704996771159534e-42
8,HLA-C,13.516984,10.70416,1.241627204526843e-41,1.6259356568719917e-38
8,CD7,13.481294,3.7144423,2.0154089036706347e-41,2.450809798692307e-38
8,CCL4,13.3953285,8.09983,6.439076690556077e-41,7.406331801977578e-38
8,GZMM,13.217627,3.8117504,6.94202117621806e-40,7.575596308900896e-37
8,PLAC8,12.854102,3.3053348,8.156785276426607e-38,6.847098368709083e-35
8,HOPX,11.973714,4.91077,4.879458777071387e-33,3.327994196745064e-30
8,HLA-A,11.690011,7.558982,1.4336853114060168e-31,9.026151870155804e-29
8,CLIC3,11.5056305,6.2570343,1.2358302385908419e-30,7.356110972906724e-28
8,B2M,11.474108,34.25799,1.7800413975399525e-30,1.0223683381168942e-27
8,KLRD1,11.193877,5.4446774,4.369002337203619e-29,2.134811918139882e-26
8,UBB,11.165347,3.2812185,6.025547852711367e-29,2.900946847089187e-26
8,GZMH,10.935232,4.0589924,7.820550822712007e-28,3.5072492169033656e-25
8,ITGB2,10.889124,2.8659308,1.298838741971026e-27,5.669517697952994e-25
8,APMAP,10.873309,3.6351645,1.5449379007492648e-27,6.568594414899926e-25
9,CD8B,15.064996,5.5496674,2.751829898926827e-51,9.008940723106647e-47
9,RPS12,12.129284,18.834301,7.389261950854144e-34,1.209548288735315e-29
9,RPS6,11.240328,20.33644,2.584206013661618e-29,2.6141266232286127e-25
9,RPL13,11.221611,24.13632,3.193996729462536e-29,2.6141266232286127e-25
9,RPS25,11.170283,7.8095183,5.699877728193142e-29,3.7320519413117413e-25
9,RPLP2,11.105471,11.303477,1.1799456761287253e-28,6.358970620396476e-25
9,RPL9,11.092798,10.580407,1.3596674916847496e-28,6.358970620396476e-25
9,MALAT1,11.065246,47.720592,1.8495574512164745e-28,6.8219269148168575e-25
9,RPS5,11.0553055,9.269668,2.066320411287105e-28,6.8219269148168575e-25
9,RPS27,11.05455,13.579744,2.0837946468375765e-28,6.8219269148168575e-25
9,RPL32,10.945676,14.855434,6.969619865745652e-28,1.937128856217537e-24
9,RPL3,10.94399,14.3093195,7.100478427090977e-28,1.937128856217537e-24
9,RPL21,10.786056,11.330792,4.0061868373061e-27,1.0088811129209777e-23
9,RPL31,10.740715,7.1541653,6.553473729704665e-27,1.532483021164795e-23
9,RPS3A,10.729438,14.111394,7.404489610869327e-27,1.616054539204267e-23
9,RPS3,10.67038,15.586176,1.4005255080409013e-26,2.865650255140189e-23
9,RPS14,10.378576,12.880711,3.10370450599845e-25,5.977004595139838e-22
9,RPS18,10.345734,16.483335,4.375533143000525e-25,7.9581224464195105e-22
9,RPS23,10.104384,7.2712793,5.282615807033498e-24,9.102225067929614e-21
9,RPS13,9.98249,6.139052,1.818458155144473e-23,2.969176799394501e-20
9,RPSA,9.977898,7.455652,1.90459749487704e-23,2.969176799394501e-20
9,EEF1A1,9.715448,11.505213,2.5910661295306856e-22,3.855741952207981e-19
9,RPS4X,9.621803,11.270531,6.4686892433440985e-22,9.207476019504308e-19
9,RPS28,9.559374,4.9607005,1.1847147112361995e-21,1.6072720549686771e-18
9,RPL27A,9.555712,8.589018,1.2273749579759584e-21,1.6072720549686771e-18
10,HLA-DPB1,9.558556,63.30071,1.194116801952156e-21,3.9092995862309686e-17
10,HLA-DQA1,9.486416,20.82479,2.391135363028203e-21,3.9140494757408653e-17
10,HLA-DRA,9.376495,102.78737,6.820202384083008e-21,7.442659521670318e-17
